4 11 13 2 Jeanne
4 13 15 3 Ken
4 11 13 2 An
8 11 12 3 Jeanne
3 12 13 4 Ken
8 13 15 3 Ken
7 11 12 3 An
3 14 15 6 An
15 13 15 3 Ken
11 13 14 5 An
29 15 17 4 Jeanne
21 13 15 3 Jeanne
4 9 11 1 Jeanne
4 13 15 3 Jeanne
14 15 17 4 Ken
22 15 17 4 Jeanne
24 9 11 1 An
31 13 15 3 An
22 9 11 1 Jeanne
25 10 11 2 Jeanne
14 15 16 7 Jeanne
1 14 15 6 Jeanne
25 13 15 3 An
8 11 13 2 Ken
24 13 15 3 An
29 13 15 3 An
8 9 11 1 An
22 9 11 1 Ken
22 11 13 2 Ken
22 13 14 5 Ken
22 14 15 6 Ken
14 11 12 3 An
14 10 11 2 An
14 9 10 1 An
14 15 17 4 An
14 12 13 4 An
